ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA
T20210000040,2021-01-01,10:00:00,4,Collision with a fixed object,6,Friday,151,OUT OF CONTROL (OVERTAKING),1,678805,2,0,1,4,2,7,1,1,Cross intersection,2,100,Arterial Other
T20210000039,2021-01-01,11:53:00,1,Collision with vehicle,6,Friday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,70854,2,0,0,2,2,4,2,1,Cross intersection,3,050,Local Road
T20210000590,2021-01-01,22:30:00,5,collision with some other object,6,Friday,166,STRUCK OBJECT ON CARRIAGEWAY,9,673046,1,0,0,1,0,1,2,5,Not at intersection,3,100,Freeway
T20210000021,2021-01-01,09:10:00,4,Collision with a fixed object,6,Friday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,40641,1,0,0,1,0,1,1,1,Cross intersection,3,060,
T20210000019,2021-01-01,07:55:00,4,Collision with a fixed object,6,Friday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,672276,1,0,1,0,0,1,1,5,Not at intersection,2,100,Arterial Other
T20210000016,2021-01-01,04:42:00,1,Collision with vehicle,6,Friday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),5,43788,2,0,3,1,0,4,1,1,Cross intersection,2,060,Arterial Other
T20210000011,2021-01-01,01:00:00,2,Struck Pedestrian,6,Friday,105,PED WALKING AGAINST TRAFFIC.,3,672324,1,0,0,1,1,2,1,2,T intersection,3,050,Local Road
T20210001246,2021-01-01,02:15:00,7,Fall from or in moving vehicle,6,Friday,190,FELL IN/FROM VEHICLE,3,682408,1,0,0,1,2,3,1,5,Not at intersection,3,050,Local Road
T20210000068,2021-01-01,21:18:00,4,Collision with a fixed object,6,Friday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,3,672728,1,0,0,1,0,1,1,5,Not at intersection,3,060,Arterial Other
T20210000082,2021-01-01,03:46:00,4,Collision with a fixed object,6,Friday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,680520,1,0,0,2,1,3,1,5,Not at intersection,3,050,Local Road
T20210007687,2021-01-01,14:00:00,6,Vehicle overturned (no collision),6,Friday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,680148,1,0,0,1,0,1,2,5,Not at intersection,3,100,
T20210000458,2021-01-01,18:05:00,1,Collision with vehicle,6,Friday,130,REAR END(VEHICLES IN SAME LANE),1,38233,2,0,0,1,0,1,2,1,Cross intersection,3,040,Arterial Highway
T20210000302,2021-01-01,17:10:00,1,Collision with vehicle,6,Friday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,9,675405,2,0,0,1,1,2,2,5,Not at intersection,3,999,Arterial Highway
T20210000048,2021-01-01,01:01:00,1,Collision with vehicle,5,Friday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),3,780886,2,0,0,1,1,2,1,5,Not at intersection,3,100,Freeway
T20210000007,2021-01-01,00:28:00,4,Collision with a fixed object,6,Friday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,3,678250,1,0,1,0,0,1,1,5,Not at intersection,2,050,Local Road
T20210000148,2021-01-01,05:30:00,6,Vehicle overturned (no collision),5,Friday,180,OFF CARRIAGEWAY ON RIGHT BEND,2,780890,1,0,0,1,0,1,2,5,Not at intersection,3,100,Arterial Other
T20210000067,2021-01-01,21:05:00,1,Collision with vehicle,6,Friday,137,LEFT TURN SIDESWIPE,3,672001,2,0,0,3,0,3,1,5,Not at intersection,3,070,Arterial Other
T20210000065,2021-01-01,17:05:00,8,No collision and no object struck,6,Friday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,675019,1,0,1,0,0,1,1,2,T intersection,2,050,Local Road
T20210000062,2021-01-01,18:10:00,4,Collision with a fixed object,6,Friday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,674531,1,0,1,0,0,1,1,5,Not at intersection,2,100,
T20210000060,2021-01-01,16:42:00,1,Collision with vehicle,5,Friday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,679331,2,0,0,1,0,1,1,5,Not at intersection,3,050,Local Road
T20210000059,2021-01-01,17:07:00,4,Collision with a fixed object,5,Friday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,679906,1,0,1,0,0,1,1,5,Not at intersection,2,100,Arterial Highway
T20210000136,2021-01-01,03:00:00,4,Collision with a fixed object,6,Friday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,738412,1,0,1,0,0,1,1,5,Not at intersection,2,060,
T20210000053,2021-01-01,16:15:00,1,Collision with vehicle,6,Friday,145,REVERSING IN STREAM OF TRAFFIC,1,49688,2,0,0,1,2,3,1,2,T intersection,3,060,Arterial Highway
T20210000051,2021-01-01,13:15:00,1,Collision with vehicle,6,Friday,169,OTHER ON PATH,1,675018,2,0,0,1,0,1,1,2,T intersection,3,050,
T20210000050,2021-01-01,11:23:00,4,Collision with a fixed object,6,Friday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,685527,1,0,1,4,0,5,2,5,Not at intersection,2,100,
T20210001152,2021-01-01,10:35:00,1,Collision with vehicle,6,Friday,136,RIGHT TURN SIDESWIPE,1,57763,2,0,1,0,2,3,1,4,Multiple intersection,2,080,Freeway
T20210002191,2021-01-01,12:45:00,1,Collision with vehicle,5,Friday,130,REAR END(VEHICLES IN SAME LANE),1,35583,2,0,0,1,1,2,2,1,Cross intersection,3,060,Arterial Highway
T20210000038,2021-01-01,10:50:00,1,Collision with vehicle,6,Friday,140,U TURN,1,681382,2,0,1,0,0,1,1,5,Not at intersection,2,060,Arterial Other
T20210006981,2021-01-01,01:15:00,1,Collision with vehicle,6,Friday,129,OTHER OPPOSING MANOEUVRES NOT INCLUDED IN DCAs 120-125.,3,471,2,0,0,1,4,5,1,4,Multiple intersection,3,060,Arterial Other
T20210000034,2021-01-01,09:30:00,1,Collision with vehicle,6,Friday,121,RIGHT THROUGH,1,36898,3,0,3,1,1,5,1,2,T intersection,2,060,Arterial Other
T20210000069,2021-01-01,17:10:00,1,Collision with vehicle,6,Friday,130,REAR END(VEHICLES IN SAME LANE),1,729962,2,0,0,1,4,5,1,5,Not at intersection,3,050,
