ROAD_NAME,ROAD_NAME_INT,Accident_Count,Fatality_Count
ABBOTTS,COOPERS,2,0.0
ABEL,SULLIVAN,2,0.0
ADAM,CAIN,2,0.0
ADAM,HOUSTON,3,0.0
ADAM,THISTLE,1,0.0
ADAM STREET -GLADSTONE,ADAM,1,0.0
ADAM STREET -HATTAM,BELLE VUE,1,0.0
AIRSTRIP,BENDIGO-PYRAMID,1,0.0
ALBERT,KEENES,1,0.0
ALDER,LOVERO,1,0.0
ALEXANDER,LANSELL,1,0.0
ALKOOMI,MYRTLE,1,0.0
ALLIES,CALDER,1,0.0
ALLIES,HERMITAGE,1,0.0
ALLIES,MURDOCH,1,0.0
ALLIES,OLD BRIDGEWATER,2,2.0
ALLIES,SANDHURST TOWN,1,0.0
ALLIES,SCHUMAKERS,1,0.0
ALLIES,WILLIAMS,2,0.0
ALLINGHAM,BREEN,1,0.0
ALLINGHAM,GRAY,1,0.0
ALLINGHAM,HAM,6,0.0
ALLINGHAM,MUIR,2,0.0
ALLINGHAM,WATERSON,1,0.0
ALMOND TREE,HOKINS,1,0.0
APELINE,DORRINGTON,1,0.0
APELINE,PHILLIS,2,0.0
ARGUS,ARGUS ALT,1,0.0
ARMS,CREETH,2,0.0
ARNOLD,ATKINS,1,0.0
ARNOLD,BANNISTER,4,1.0
ARNOLD,DROUGHT,4,0.0
ARNOLD,GRATTAN,2,0.0
ARNOLD,LUCAN,3,0.0
ARNOLD,SMITH,2,0.0
ARNOLD,STEWART,5,0.0
ARNOLD,ULEY,1,0.0
ARNOLD STREET -BRIDGE,BRIDGE,2,0.0
ARTHUR,GARSED,2,0.0
ARTHUR,RAILWAY,1,0.0
ASPINALL,BISSELL,1,0.0
ASPINALL,MISTLETOE,3,0.0
ASPINALL,PRAIN,2,0.0
AUGUSTA,CASHENS,1,0.0
AUTUMN GULLY,SPRING GULLY,1,0.0
AVERYS,HOWARD,4,0.0
AVERYS,JOBS GULLY,8,0.0
AVERYS,PARKER,1,0.0
AVERYS,PROUSES,3,0.0
AVERYS,SIMPSONS,2,0.0
AVERYS,VICTORIA,1,0.0
AXE CREEK,EVERODE,1,0.0
AXE CREEK,HOULAHANS,1,0.0
AXE CREEK,MYRTLE CREEK,1,0.0
AXE CREEK,OCONNELL,1,0.0
AXE CREEK,PATONS,2,0.0
AXE CREEK,RED BOX,1,0.0
AXE CREEK,SALAU,1,0.0
AXE CREEK,STEENS,1,0.0
AXE CREEK,SUTTON GRANGE,3,0.0
AXE CREEK,TRENT,1,0.0
AXE CREEK,WHITNEY,1,0.0
AXEDALE-GOORNONG,CAMPASPE,3,0.0
AXEDALE-GOORNONG,FOSTERVILLE NORTH,2,0.0
AXEDALE-GOORNONG,GOORNONG-BARNADOWN,1,0.0
AXEDALE-GOORNONG,PETHERICKS,1,0.0
AXEDALE-GOORNONG,RAGLAN E,1,0.0
AXEDALE-GOORNONG,RIVER,1,0.0
AXEDALE-GOORNONG,SANDY CREEK-BARNADOWN,5,1.0
AXEDALE-GOORNONG,SUGARLOAF,4,0.0
AXEDALE-GOORNONG,WHATLEYS,2,0.0
AXEDALE-TOOLLEEN,AXEDALE-CROSBIE,1,0.0
AXEDALE-TOOLLEEN,KNOWSLEY-BARNADOWN,4,0.0
AXEDALE-TOOLLEEN,MCROBERTS,1,0.0
AXEDALE-TOOLLEEN,MURPHYS,2,1.0
AXEDALE-TOOLLEEN,RALSTONS,2,0.0
BACK KYNETON,CARBOON,1,0.0
BACK KYNETON,COMMISSIONERS FLAT,1,0.0
BACK KYNETON,HERRIOT,1,0.0
BACKHAUS,WATSON,1,0.0
BAILES,ARNOLD,2,0.0
BAKERS,GUYS HILL,1,0.0
BANCROFT,BARKLY,2,0.0
BANCROFT,ROSALIND,2,0.0
BANNISTER,BAYNE,2,0.0
BANNISTER,NOLAN,2,0.0
BARKLY,VALENTINE,1,0.0
BARNARD,ARNOLD,4,0.0
BARNARD,BARNARD,6,0.0
BARNARD,DON,1,0.0
BARNARD,EAGLEHAWK,1,0.0
BARNARD,FOREST,2,0.0
BARNARD,HONEYSUCKLE,4,0.0
BARNARD,HOPE,1,0.0
BARNARD,LILY,6,0.0
