ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA
T20200000058,2020-01-01,11:15:00,6,Vehicle overturned (no collision),4,Wednesday,182,OFF CARRIAGEWAY ON LEFT BEND,1,632037,1,0,1,0,0,1,1,5,Not at intersection,2,100,
T20200000060,2020-01-01,15:41:00,1,Collision with vehicle,4,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,42230,2,0,0,1,1,2,1,1,Cross intersection,3,050,Local Road
T20200000061,2020-01-01,07:50:00,1,Collision with vehicle,4,Wednesday,131,LEFT REAR,1,615035,2,0,0,1,1,2,2,5,Not at intersection,3,999,Arterial Other
T20200000062,2020-01-01,19:20:00,1,Collision with vehicle,4,Wednesday,114,TWO RIGHT TURNING (INTERSECTIONS ONLY),2,615603,2,0,0,1,1,2,1,2,T intersection,3,050,Local Road
T20200000067,2020-01-01,19:36:00,4,Collision with a fixed object,4,Wednesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,45156,1,0,1,0,0,1,1,2,T intersection,2,060,Arterial Other
T20200000068,2020-01-01,18:00:00,2,Struck Pedestrian,3,Wednesday,103,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,1,660682,1,0,0,1,1,2,2,5,Not at intersection,3,999,Local Road
T20200000195,2020-01-01,19:15:00,1,Collision with vehicle,3,Wednesday,130,REAR END(VEHICLES IN SAME LANE),9,665638,2,0,0,1,1,2,2,5,Not at intersection,3,999,Local Road
T20200005439,2020-01-01,13:00:00,8,No collision and no object struck,3,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,637792,1,0,0,1,0,1,2,5,Not at intersection,3,888,Local Road
T20200000037,2020-01-01,12:54:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,1,44365,2,0,0,2,4,6,1,1,Cross intersection,3,060,Arterial Other
T20200001362,2020-01-01,12:45:00,1,Collision with vehicle,4,Wednesday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,621178,2,0,0,2,2,4,1,1,Cross intersection,3,060,Local Road
T20200000587,2020-01-01,17:00:00,8,No collision and no object struck,4,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,620254,1,0,0,1,0,1,2,2,T intersection,3,999,Local Road
T20200000723,2020-01-01,14:00:00,6,Vehicle overturned (no collision),4,Wednesday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),1,620875,1,0,1,0,0,1,2,5,Not at intersection,2,060,Local Road
T20200000948,2020-01-01,14:00:00,7,Fall from or in moving vehicle,4,Wednesday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),1,619676,1,0,1,0,0,1,2,5,Not at intersection,2,999,
