ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA, LAT, LONG, DATE, COUNCIL
T20120000062,2012-01-01,18:00:00,4,Collision with a fixed object,1,Sunday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,248782,1,0,1,0,0,1,1,5,Not at intersection,2,100,,144.511165,-36.75169,20120101,BENDIGO
T20120000146,2012-01-03,13:48:00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,248616,1,0,1,3,0,4,1,5,Not at intersection,2,60,,144.50456,-36.86153,20120103,BENDIGO
T20120012824,2012-01-05,21:30:00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL,5,252257,1,0,0,1,4,5,2,5,Not at intersection,3,999,Arterial Other,144.75553,-36.932766,20120105,BENDIGO
T20120001512,2012-01-10,11:45:00,8,No collision and no object struck,3,Tuesday,179,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,1,51559,1,0,0,1,0,1,2,1,Cross intersection,3,60,Local Road,144.30418,-36.746762,20120110,BENDIGO
T20120000771,2012-01-11,14:40:00,1,Collision with vehicle,4,Wednesday,120,HEAD ON (NOT OVERTAKING),1,248992,2,0,0,3,3,6,1,5,Not at intersection,3,100,Arterial Highway,144.700488,-36.77783,20120111,BENDIGO
T20120000927,2012-01-13,16:25:00,1,Collision with vehicle,6,Friday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,35812,2,0,1,0,1,2,1,1,Cross intersection,2,60,Arterial Highway,144.268039,-36.758417,20120113,BENDIGO
T20120001791,2012-01-16,18:05:00,1,Collision with vehicle,2,Monday,121,RIGHT THROUGH,1,19418,2,0,0,1,2,3,1,1,Cross intersection,3,60,Arterial Highway,144.132975,-36.735691,20120116,BENDIGO
T20120001374,2012-01-19,13:50:00,1,Collision with vehicle,5,Thursday,132,RIGHT REAR.,1,44649,2,0,0,1,2,3,1,1,Cross intersection,3,60,Local Road,144.29244,-36.759496,20120119,BENDIGO
T20120001412,2012-01-19,18:00:00,2,Struck Pedestrian,5,Thursday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,29984,1,0,1,0,1,2,1,1,Cross intersection,2,60,Local Road,144.285093,-36.776419,20120119,BENDIGO
T20120001534,2012-01-20,16:40:00,1,Collision with vehicle,6,Friday,143,ENTERING PARKING,1,273392,3,0,0,3,1,4,1,5,Not at intersection,3,60,Local Road,144.28605,-36.758488,20120120,BENDIGO
T20120019558,2012-01-21,15:00:00,7,Fall from or in moving vehicle,7,Saturday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,273412,1,0,0,1,0,1,2,5,Not at intersection,3,60,Local Road,144.291481,-36.7407,20120121,BENDIGO
T20120001955,2012-01-21,14:00:00,4,Collision with a fixed object,7,Saturday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,273409,1,0,0,2,1,3,2,5,Not at intersection,3,50,,144.242686,-36.758322,20120121,BENDIGO
T20120001620,2012-01-22,18:15:00,1,Collision with vehicle,1,Sunday,169,OTHER ON PATH,1,273417,2,0,1,0,0,1,2,5,Not at intersection,2,50,Local Road,144.232015,-36.805739,20120122,BENDIGO
T20120001700,2012-01-23,16:10:00,1,Collision with vehicle,2,Monday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,51560,2,0,1,0,1,2,1,2,T intersection,2,60,Local Road,144.309938,-36.746719,20120123,BENDIGO
T20120001872,2012-01-25,08:45:00,1,Collision with vehicle,3,Wednesday,121,RIGHT THROUGH,1,51633,2,0,1,0,2,3,1,1,Cross intersection,2,60,Arterial Highway,144.272129,-36.762069,20120125,BENDIGO
T20120001998,2012-01-26,20:30:00,4,Collision with a fixed object,5,Thursday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,2,273469,1,0,0,1,0,1,1,5,Not at intersection,3,100,,144.297039,-36.805799,20120126,BENDIGO
T20120001948,2012-01-26,09:20:00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH,1,29983,2,0,1,1,0,2,1,1,Cross intersection,2,60,Arterial Highway,144.266509,-36.767121,20120126,BENDIGO
T20120002185,2012-01-26,22:15:00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL,5,249275,1,0,0,1,2,3,1,5,Not at intersection,3,100,Arterial Highway,144.710626,-36.83037,20120126,BENDIGO
T20120002310,2012-01-31,02:00:00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,51700,1,0,2,0,0,2,1,1,Cross intersection,2,60,Arterial Highway,144.250247,-36.779793,20120131,BENDIGO
T20120002754,2012-02-05,13:00:00,1,Collision with vehicle,1,Sunday,131,LEFT REAR,1,59874,2,0,1,0,1,2,1,1,Cross intersection,2,50,Local Road,144.24381,-36.803243,20120205,BENDIGO
T20120008906,2012-02-05,13:00:00,1,Collision with vehicle,1,Sunday,130,REAR END(VEHICLES IN SAME LANE),1,51700,2,0,1,1,2,4,2,1,Cross intersection,2,50,Arterial Highway,144.250247,-36.779793,20120205,BENDIGO
T20120002845,2012-02-06,14:30:00,1,Collision with vehicle,2,Monday,115,RIGHT/LEFT FAR (INTERSECTIONS ONLY),1,58051,2,0,0,2,1,3,1,2,T intersection,3,70,Local Road,144.31927,-36.729775,20120206,BENDIGO
T20120003394,2012-02-06,22:30:00,6,Vehicle overturned (no collision),2,Monday,182,OFF CARRIAGEWAY ON LEFT BEND,5,249636,1,0,0,2,0,2,2,5,Not at intersection,3,60,,144.302564,-36.804652,20120206,BENDIGO
T20120003679,2012-02-08,06:30:00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL,2,250842,1,0,0,1,0,1,2,5,Not at intersection,3,100,Local Road,144.582008,-36.762506,20120208,BENDIGO
T20120003071,2012-02-08,14:45:00,2,Struck Pedestrian,4,Wednesday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,1,51667,1,0,1,0,1,2,2,1,Cross intersection,2,60,Arterial Other,144.286174,-36.769304,20120208,BENDIGO
T20120002998,2012-02-08,07:55:00,4,Collision with a fixed object,4,Wednesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,19574,2,0,2,0,0,2,1,2,T intersection,2,100,Arterial Highway,144.2047,-36.690501,20120208,BENDIGO
T20120003478,2012-02-13,17:15:00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,51527,2,0,0,1,1,2,1,1,Cross intersection,3,50,Local Road,144.304989,-36.729089,20120213,BENDIGO
T20120003469,2012-02-13,12:10:00,6,Vehicle overturned (no collision),2,Monday,172,OFF CARRIAGEWAY TO RIGHT,1,249674,1,0,2,0,0,2,1,5,Not at intersection,2,100,,144.155682,-36.8258,20120213,BENDIGO
