,ACCIDENT_NO,VEHICLE_ID,VEHICLE_YEAR_MANUF,VEHICLE_DCA_CODE,INITIAL_DIRECTION,ROAD_SURFACE_TYPE,ROAD_SURFACE_TYPE_DESC,REG_STATE,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_POWER,VEHICLE_TYPE,VEHICLE_TYPE_DESC,VEHICLE_WEIGHT,CONSTRUCTION_TYPE,FUEL_TYPE,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,CARRY_CAPACITY,CUBIC_CAPACITY,FINAL_DIRECTION,DRIVER_INTENT,VEHICLE_MOVEMENT,TRAILER_TYPE,VEHICLE_COLOUR_1,VEHICLE_COLOUR_2,CAUGHT_FIRE,INITIAL_IMPACT,LAMPS,LEVEL_OF_DAMAGE,TOWED_AWAY_FLAG,TRAFFIC_CONTROL,TRAFFIC_CONTROL_DESC
66,T20120000146,A,1995.0,1.0,S,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,M,4.0,6.0,5.0,1500.0,4.0,,,S,1.0,18.0,H,MRN,ZZ,2.0,2,2.0,4,1.0,0.0,No control
430,T20120000771,A,2003.0,1.0,N,1.0,Paved,V,WAGON,MITSUB,PAJERO,,2,Station Wagon,,R,D,4.0,6.0,7.0,1860.0,3.0,,3200.0,N,1.0,18.0,H,SIL,ZZ,2.0,1,2.0,5,1.0,0.0,No control
431,T20120000771,B,2009.0,2.0,S,1.0,Paved,V,WAGON,SUBARU,TRIBEC,,2,Station Wagon,,R,P,4.0,6.0,5.0,1942.0,3.0,,,S,1.0,1.0,H,SIL,ZZ,2.0,1,2.0,4,1.0,0.0,No control
542,T20120000927,A,2001.0,2.0,SE,1.0,Paved,V,TRAY,TOYOTA,HILUX,,4,Utility,2730.0,R,P,4.0,4.0,3.0,1350.0,1.0,1380.0,,SE,1.0,1.0,H,WHI,ZZ,2.0,F,2.0,3,1.0,1.0,Stop-go lights
543,T20120000927,B,2000.0,1.0,SW,1.0,Paved,V,SEDAN,SUBARU,IMPREZ,,1,Car,,R,P,4.0,4.0,5.0,1350.0,1.0,,,SW,1.0,1.0,H,GRN,ZZ,2.0,1,2.0,4,1.0,1.0,Stop-go lights
850,T20120001374,A,2001.0,1.0,N,1.0,Paved,V,COUPE,MITSUB,LANCER,,1,Car,,R,P,4.0,4.0,5.0,920.0,1.0,,,N,99.0,1.0,H,BLK,ZZ,2.0,1,2.0,3,1.0,0.0,No control
851,T20120001374,B,2006.0,2.0,N,1.0,Paved,V,WAGON,NISSAN,XTRAIL,,2,Station Wagon,,R,P,4.0,4.0,5.0,1475.0,2.0,,,E,2.0,2.0,H,WHI,ZZ,2.0,R,2.0,2,2.0,99.0,Unknown
881,T20120001412,A,2011.0,1.0,N,1.0,Paved,V,COUPE,HONDA,CIVIC,,1,Car,,R,P,4.0,4.0,5.0,1320.0,1.0,,,N,1.0,1.0,H,BLK,ZZ,2.0,5,2.0,1,2.0,9.0,Roundabout
962,T20120001512,A,2006.0,1.0,N,1.0,Paved,V,CYCLE,HYOSUN,GV250,,10,Motor Cycle,,,Z,,2.0,,,1.0,,,N,18.0,18.0,H,BLK,ZZ,2.0,4,1.0,1,2.0,9.0,Roundabout
977,T20120001534,A,1993.0,1.0,NE,1.0,Paved,V,SEDAN,FORD,LASRE,,1,Car,,R,P,4.0,4.0,5.0,950.0,1.0,,,SE,2.0,2.0,H,BLU,ZZ,2.0,5,0.0,5,1.0,0.0,No control
978,T20120001534,B,2000.0,2.0,SW,1.0,Paved,V,SEDAN,FORD,FAIRMO,,1,Car,,R,P,4.0,6.0,5.0,1520.0,3.0,,,SW,1.0,1.0,H,SIL,ZZ,2.0,F,2.0,4,1.0,0.0,No control
979,T20120001534,C,2002.0,8.0,NK,1.0,Paved,V,DC UTE,TOYOTA,HILUX,,4,Utility,2730.0,R,D,4.0,4.0,5.0,1761.0,0.0,969.0,,NK,11.0,11.0,H,BLU,ZZ,2.0,R,0.0,2,2.0,0.0,No control
1048,T20120001620,A,,1.0,S,1.0,Paved,,,,,,13,Bicycle,,,,,,,,1.0,,,S,1.0,6.0,H,ZZ,ZZ,0.0,F,2.0,1,2.0,0.0,No control
1049,T20120001620,B,1997.0,8.0,S,1.0,Paved,V,SEDAN,MITSUB,MAGNA,,1,Car,,R,P,4.0,4.0,5.0,1367.0,0.0,,,S,11.0,11.0,H,RED,ZZ,2.0,1,2.0,2,2.0,0.0,No control
1099,T20120001700,A,2002.0,1.0,N,1.0,Paved,V,VAN,MITSUB,FK617H,,72,Heavy Vehicle (Rigid) > 4.5 Tonnes,10400.0,R,D,4.0,6.0,3.0,5260.0,1.0,5140.0,,E,2.0,2.0,H,WHI,ZZ,2.0,F,2.0,2,2.0,11.0,Giveway sign
1100,T20120001700,B,1993.0,2.0,W,1.0,Paved,V,SEDAN,TOYOTA,SECA,,1,Car,,R,P,4.0,4.0,5.0,1000.0,1.0,,1600.0,W,1.0,1.0,H,WHI,ZZ,2.0,5,2.0,3,1.0,0.0,No control
1182,T20120001791,A,1995.0,1.0,E,1.0,Paved,Q,SED,TOYOTA,CAMRY,,1,Car,,,Z,,4.0,5.0,,1.0,,,S,2.0,2.0,H,WHI,ZZ,2.0,5,0.0,3,1.0,0.0,No control
1183,T20120001791,B,2005.0,2.0,W,1.0,Paved,V,SEDAN,KIA,CERATO,,1,Car,,R,P,4.0,4.0,5.0,1250.0,2.0,,,W,1.0,1.0,H,BLU,ZZ,2.0,F,0.0,3,1.0,0.0,No control
1238,T20120001872,A,1994.0,1.0,NE,1.0,Paved,V,SEDAN,HOLDEN,NOVA,,1,Car,1200.0,R,P,4.0,4.0,5.0,1000.0,1.0,200.0,,E,2.0,2.0,H,WHI,ZZ,2.0,5,2.0,5,1.0,0.0,No control
1239,T20120001872,B,1996.0,2.0,SW,1.0,Paved,V,SEDAN,HYNDAI,SONATA,,1,Car,,R,P,4.0,4.0,5.0,1350.0,1.0,,,SW,1.0,1.0,H,GRN,ZZ,2.0,F,2.0,5,1.0,0.0,No control
1286,T20120001948,A,2009.0,2.0,NE,1.0,Paved,V,SCOOTR,SYM,HD200,,12,Motor Scooter,,,Z,,1.0,,0.0,1.0,,,NE,1.0,1.0,H,GRY,ZZ,2.0,F,2.0,5,2.0,1.0,Stop-go lights
1287,T20120001948,B,1993.0,1.0,SW,1.0,Paved,V,SEDAN,FORD,FAIRMO,,1,Car,,R,M,4.0,6.0,5.0,1450.0,1.0,,,NW,2.0,2.0,H,RED,ZZ,2.0,6,2.0,2,2.0,1.0,Stop-go lights
1295,T20120001955,A,1997.0,1.0,S,3.0,Gravel,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4.0,6.0,5.0,1347.0,3.0,,,S,1.0,18.0,H,WHI,ZZ,2.0,F,2.0,5,2.0,0.0,No control
1327,T20120001998,A,2005.0,1.0,SW,1.0,Paved,V,UTIL,FORD,FALCON,,4,Utility,2350.0,R,P,4.0,6.0,2.0,1628.0,1.0,722.0,,SW,1.0,18.0,H,GRY,ZZ,2.0,F,9.0,5,1.0,0.0,No control
1472,T20120002185,A,2010.0,1.0,N,1.0,Paved,V,S WAG,HOLDEN,COMMOD,,2,Station Wagon,,R,P,4.0,6.0,5.0,1829.0,3.0,,,N,1.0,1.0,H,BLU,ZZ,2.0,F,1.0,4,1.0,0.0,No control
1561,T20120002310,A,1995.0,1.0,SE,1.0,Paved,V,UTIL,HOLDEN,VS COM,,4,Utility,,R,P,4.0,6.0,3.0,1460.0,2.0,,,SE,1.0,18.0,H,BLU,ZZ,2.0,F,1.0,5,1.0,1.0,Stop-go lights
1897,T20120002754,A,,2.0,W,1.0,Paved,,,,,,13,Bicycle,,,,,,,,1.0,,,S,3.0,3.0,H,ZZ,ZZ,0.0,R,2.0,6,2.0,0.0,No control
1898,T20120002754,B,,1.0,W,1.0,Paved,,,,,,13,Bicycle,,,,,,,,1.0,,,S,3.0,1.0,H,ZZ,ZZ,0.0,F,2.0,1,2.0,0.0,No control
1964,T20120002845,A,2010.0,1.0,W,1.0,Paved,V,TRAY,ISUZU,FSR700,,72,Heavy Vehicle (Rigid) > 4.5 Tonnes,14000.0,R,D,4.0,6.0,3.0,5320.0,2.0,8680.0,,N,2.0,2.0,H,WHI,ZZ,2.0,3,2.0,1,2.0,0.0,No control
1965,T20120002845,B,1997.0,2.0,S,1.0,Paved,V,COUPE,HYNDAI,EXCEL,,1,Car,,R,P,4.0,4.0,5.0,900.0,1.0,,,E,3.0,3.0,H,GRN,ZZ,2.0,1,2.0,5,1.0,11.0,Giveway sign
2112,T20120002998,A,1997.0,1.0,S,1.0,Paved,V,SEDAN,HYNDAI,EXCELL,,1,Car,,R,P,4.0,4.0,5.0,950.0,1.0,,,S,1.0,1.0,H,GRN,ZZ,2.0,1,2.0,5,1.0,0.0,No control
2113,T20120002998,B,2011.0,8.0,W,1.0,Paved,V,SEDAN,HOLDEN,BARSPK,,1,Car,,R,P,4.0,4.0,5.0,967.0,1.0,,,S,2.0,2.0,H,SIL,ZZ,2.0,N,2.0,6,2.0,0.0,No control
2170,T20120003071,A,1995.0,1.0,W,1.0,Paved,V,SEDAN,HYNDAI,EXCEL,,1,Car,,R,P,4.0,4.0,5.0,900.0,1.0,,,N,2.0,2.0,H,RED,ZZ,2.0,F,2.0,1,2.0,1.0,Stop-go lights
2419,T20120003394,A,1992.0,1.0,N,1.0,Paved,V,SEDAN,FORD,FAL,,1,Car,,R,P,4.0,6.0,5.0,1400.0,2.0,,,N,3.0,3.0,H,SIL,ZZ,2.0,5,9.0,5,2.0,0.0,No control
2470,T20120003469,A,,1.0,N,1.0,Paved,N,P VAN,MITSUB,PAJERO,,5,Panel Van,,,Z,,6.0,,1856.0,2.0,,,N,1.0,18.0,H,RED,ZZ,2.0,6,2.0,5,1.0,0.0,No control
2477,T20120003478,A,2010.0,1.0,SW,1.0,Paved,V,SEDAN,MITSUB,LANCER,,1,Car,1850.0,R,P,4.0,4.0,5.0,1330.0,1.0,520.0,,SW,1.0,1.0,H,RED,ZZ,2.0,F,2.0,4,1.0,11.0,Giveway sign
2478,T20120003478,B,2001.0,2.0,NW,1.0,Paved,V,SEDAN,FORD,FALCON,,1,Car,,R,P,4.0,6.0,5.0,1505.0,1.0,,4000.0,NW,1.0,1.0,H,SIL,ZZ,2.0,2,2.0,4,1.0,0.0,No control
2501,T20120003511,A,1984.0,1.0,NW,1.0,Paved,V,S WAG,TOYOTA,,,2,Station Wagon,2845.0,R,D,4.0,4.0,8.0,2050.0,1.0,795.0,,NW,18.0,18.0,H,BLU,ZZ,2.0,1,2.0,5,1.0,0.0,No control
2586,T20120003603,A,2008.0,1.0,NE,1.0,Paved,V,C MIX,MACK,METROL,,72,Heavy Vehicle (Rigid) > 4.5 Tonnes,24380.0,R,D,6.0,6.0,2.0,9500.0,1.0,14880.0,,NE,1.0,1.0,H,WHI,ZZ,2.0,2,2.0,4,1.0,0.0,No control
2641,T20120003679,A,2007.0,1.0,SW,1.0,Paved,V,SOLO,TRIUM,SPEED4,,10,Motor Cycle,,,P,2.0,2.0,,,1.0,,865.0,SW,1.0,16.0,H,BLU,ZZ,2.0,F,1.0,1,2.0,0.0,No control
2833,T20120003902,A,2010.0,1.0,NE,1.0,Paved,V,DC UTE,MITSUB,TRITON,,4,Utility,2930.0,R,D,4.0,4.0,5.0,1992.0,1.0,938.0,,NE,1.0,1.0,H,BRN,ZZ,2.0,F,2.0,1,2.0,0.0,No control
2834,T20120003902,B,2004.0,2.0,NE,1.0,Paved,V,VAN,FORD,TRANSI,,71,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,,R,D,4.0,4.0,3.0,1822.0,1.0,,,NE,1.0,1.0,H,WHI,ZZ,2.0,R,2.0,1,1.0,0.0,No control
2887,T20120003964,A,1990.0,1.0,E,1.0,Paved,V,CYCLE,SUZUKI,GSX250,,10,Motor Cycle,,,Z,,,,,1.0,,,E,1.0,1.0,H,BLU,RED,2.0,F,1.0,5,1.0,0.0,No control
3513,T20120004693,A,2001.0,1.0,SW,1.0,Paved,V,SEDAN,FORD,LASER,,1,Car,,R,P,4.0,4.0,5.0,1066.0,2.0,,,NW,2.0,2.0,H,RED,ZZ,2.0,T,1.0,2,2.0,0.0,No control
3565,T20120004748,A,,1.0,S,1.0,Paved,,,,,,13,Bicycle,,,,,,,,1.0,,,S,1.0,18.0,H,ZZ,ZZ,0.0,F,1.0,5,2.0,0.0,No control
3566,T20120004748,B,2011.0,8.0,S,1.0,Paved,V,P MVR,VOLVO,FH540,,61,Prime Mover - Single Trailer,,R,D,6.0,6.0,2.0,9400.0,1.0,,,S,1.0,7.0,B,GRY,ZZ,2.0,N,2.0,6,2.0,0.0,No control
3611,T20120004804,A,1995.0,1.0,SW,1.0,Paved,V,UTIL,NISSAN,PATROL,,4,Utility,,R,D,4.0,6.0,3.0,2150.0,2.0,,4200.0,SW,1.0,1.0,H,RED,ZZ,2.0,5,1.0,2,2.0,11.0,Giveway sign
3612,T20120004804,B,1987.0,2.0,N,1.0,Paved,V,SEDAN,TOYOTA,COROLL,,1,Car,1250.0,R,P,4.0,4.0,5.0,950.0,2.0,300.0,,N,1.0,1.0,H,FWN,ZZ,2.0,F,2.0,4,1.0,11.0,Giveway sign
3660,T20120004873,A,2003.0,1.0,E,1.0,Paved,V,SEDAN,MITSUB,TL,,1,Car,,R,P,4.0,6.0,5.0,1458.0,1.0,,,SW,2.0,2.0,H,RED,ZZ,2.0,1,2.0,6,2.0,5.0,Ped. crossing
3784,T20120005018,A,1998.0,2.0,W,1.0,Paved,V,SEDAN,FORD,FALCON,,1,Car,,R,P,4.0,6.0,5.0,1548.0,2.0,,4000.0,N,2.0,15.0,H,SIL,ZZ,2.0,8,2.0,5,1.0,0.0,No control
3785,T20120005018,B,1995.0,1.0,W,1.0,Paved,V,BUS,SCANIA,K113,,8,Bus/Coach,22500.0,R,D,6.0,6.0,53.0,10200.0,1.0,12300.0,,W,1.0,1.0,H,SIL,GRN,2.0,1,1.0,1,2.0,0.0,No control
3828,T20120005078,A,1995.0,2.0,NE,1.0,Paved,V,UTIL,HOLDEN,COMMOD,,4,Utility,2100.0,R,P,4.0,6.0,3.0,1250.0,2.0,850.0,,NE,17.0,17.0,H,BLK,ZZ,2.0,R,2.0,1,2.0,0.0,No control
3829,T20120005078,B,2001.0,1.0,NE,1.0,Paved,V,DC UTE,NISSAN,NAVARA,,4,Utility,,R,P,4.0,6.0,5.0,1425.0,1.0,,,NE,99.0,1.0,H,SIL,ZZ,2.0,F,9.0,1,9.0,0.0,No control
4079,T20120005431,A,2005.0,1.0,W,1.0,Paved,V,SEDAN,MAZDA,3,,1,Car,,R,P,4.0,4.0,5.0,1225.0,1.0,,,NK,4.0,4.0,H,GRY,ZZ,2.0,R,0.0,9,2.0,0.0,No control
4080,T20120005431,B,,2.0,N,1.0,Paved,,,,,,13,Bicycle,,,,,,,,1.0,,,N,1.0,1.0,H,ZZ,ZZ,0.0,5,2.0,1,2.0,0.0,No control
4101,T20120005454,A,1994.0,1.0,NK,3.0,Gravel,V,CYCLE,KAWASA,KLX650,,10,Motor Cycle,,,Z,,1.0,,,1.0,,,NK,1.0,1.0,H,GRN,PUR,2.0,F,2.0,2,2.0,0.0,No control
4153,T20120005525,A,2001.0,1.0,N,1.0,Paved,V,SEDAN,HOLDEN,CALAIS,,1,Car,,R,P,4.0,6.0,5.0,1565.0,1.0,,,NE,2.0,2.0,H,RED,ZZ,2.0,6,2.0,2,2.0,0.0,No control
4154,T20120005525,B,1999.0,2.0,S,1.0,Paved,V,SOLO,K T M,380EXC,,10,Motor Cycle,,,P,2.0,1.0,,,1.0,,380.0,S,1.0,1.0,H,OGE,ZZ,2.0,F,2.0,2,2.0,0.0,No control
4237,T20120005601,A,1997.0,1.0,SW,1.0,Paved,V,S WAG,FORD,FALCON,,2,Station Wagon,,R,M,4.0,6.0,5.0,1500.0,2.0,,,NW,2.0,2.0,H,WHI,ZZ,2.0,7,2.0,1,2.0,15.0,Other
4238,T20120005601,B,2009.0,2.0,NE,1.0,Paved,V,SCOOTR,YAMAHA,YW100,,12,Motor Scooter,,,Z,,1.0,,,1.0,,,NE,1.0,1.0,H,BLK,ZZ,2.0,F,2.0,2,2.0,15.0,Other
4239,T20120005601,C,,8.0,NE,1.0,Paved,,,,,,13,Bicycle,,,,,,,,1.0,,,NE,1.0,1.0,H,ZZ,ZZ,0.0,F,2.0,2,2.0,15.0,Other
4327,T20120005689,A,2009.0,1.0,NE,1.0,Paved,V,DC UTE,FORD,,,4,Utility,,R,D,4.0,4.0,5.0,1911.0,1.0,,,NE,1.0,17.0,H,WHI,ZZ,2.0,2,0.0,1,2.0,0.0,No control
4354,T20120005729,A,2010.0,1.0,NE,2.0,Unpaved,V,UTIL,NISSAN,NAVARA,,4,Utility,2860.0,R,D,4.0,4.0,5.0,1823.0,2.0,1037.0,,NE,1.0,18.0,H,WHI,ZZ,2.0,8,9.0,3,9.0,0.0,No control
4402,T20120005792,A,1998.0,1.0,E,1.0,Paved,V,SEDAN,TOYOTA,STARLE,,1,Car,,R,P,4.0,4.0,5.0,850.0,3.0,,,E,1.0,1.0,H,WHI,ZZ,2.0,F,0.0,5,2.0,0.0,No control
4403,T20120005792,B,2004.0,2.0,E,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4.0,6.0,5.0,1569.0,3.0,,,S,2.0,15.0,H,BLU,ZZ,2.0,R,2.0,4,1.0,0.0,No control
4426,T20120005843,A,2002.0,1.0,NE,1.0,Paved,V,SEDAN,TOYOTA,COROLL,,1,Car,,R,P,4.0,4.0,5.0,1130.0,1.0,,,NW,3.0,3.0,H,SIL,ZZ,2.0,1,2.0,1,2.0,9.0,Roundabout
4427,T20120005843,B,,2.0,NW,1.0,Paved,,,,,,13,Bicycle,,,,,,,,1.0,,,NW,1.0,1.0,H,ZZ,ZZ,0.0,F,0.0,3,1.0,9.0,Roundabout
4531,T20120005982,A,2009.0,1.0,N,1.0,Paved,V,SOLO,SUZUKI,GS500,,10,Motor Cycle,,,P,2.0,2.0,,,1.0,,500.0,N,1.0,18.0,H,BLU,BLK,2.0,F,1.0,4,1.0,0.0,No control
4532,T20120005982,B,,8.0,S,1.0,Paved,,,UNKN,,,18,Not Applicable,,,Z,,,,,1.0,,,S,99.0,99.0,G,ZZ,ZZ,2.0,9,9.0,9,2.0,0.0,No control
4627,T20120006093,A,2006.0,1.0,E,3.0,Gravel,V,SOLO,HONDA,100,,12,Motor Scooter,,,P,2.0,1.0,,,1.0,,99.0,E,17.0,17.0,H,SIL,ZZ,2.0,5,0.0,1,2.0,0.0,No control
4628,T20120006097,A,2000.0,1.0,SW,1.0,Paved,V,SEDAN,FORD,FORTE,,1,Car,,R,M,4.0,6.0,5.0,1465.0,1.0,,,SW,17.0,1.0,H,GRN,ZZ,2.0,F,2.0,3,1.0,0.0,No control
4629,T20120006097,B,1997.0,2.0,SW,1.0,Paved,V,TIPPER,SCANIA,T143M6,,72,Heavy Vehicle (Rigid) > 4.5 Tonnes,25500.0,R,D,6.0,8.0,2.0,11480.0,1.0,14020.0,,SW,17.0,17.0,B,YLW,ZZ,2.0,R,2.0,6,2.0,0.0,No control
4738,T20120006211,A,2008.0,1.0,SW,1.0,Paved,V,SEDAN,SUZUKI,SWIFT,,1,Car,,R,P,4.0,4.0,5.0,1000.0,1.0,,,SW,1.0,1.0,H,RED,ZZ,2.0,F,2.0,4,1.0,0.0,No control
4739,T20120006211,B,1997.0,2.0,SW,1.0,Paved,V,UTIL,TOYOTA,HILUX,,4,Utility,2730.0,R,P,4.0,6.0,3.0,1600.0,1.0,1130.0,,W,2.0,15.0,H,WHI,ZZ,2.0,R,2.0,2,2.0,0.0,No control
4744,T20120006218,A,1998.0,1.0,SW,3.0,Gravel,V,SEDAN,DAEWOO,LANOS,,1,Car,,R,P,4.0,4.0,5.0,1000.0,1.0,,,SW,1.0,1.0,H,WHI,ZZ,2.0,1,2.0,3,2.0,0.0,No control
4923,T20120006418,A,2008.0,1.0,SW,1.0,Paved,V,VAN,ISUZU,NPR,,71,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,4500.0,R,D,4.0,4.0,3.0,4060.0,3.0,440.0,,SW,1.0,6.0,H,WHI,ZZ,2.0,6,0.0,1,2.0,0.0,No control
4924,T20120006418,B,2004.0,2.0,SW,1.0,Paved,V,BUS,VOLVO,B12BLE,,8,Bus/Coach,18900.0,R,D,4.0,6.0,46.0,11560.0,1.0,7340.0,,SW,1.0,1.0,H,WHI,ZZ,2.0,4,2.0,6,2.0,0.0,No control
4943,T20120006444,A,1993.0,1.0,NE,1.0,Paved,V,SEDAN,FORD,TELSTA,,1,Car,1400.0,R,P,4.0,4.0,5.0,1100.0,4.0,300.0,,NE,1.0,1.0,H,BLU,ZZ,2.0,F,2.0,1,1.0,1.0,Stop-go lights
4944,T20120006448,A,2003.0,1.0,S,1.0,Paved,V,UTIL,FORD,XR6,,4,Utility,2370.0,R,P,4.0,6.0,2.0,1690.0,2.0,680.0,,S,1.0,18.0,H,SIL,ZZ,2.0,2,2.0,5,1.0,0.0,No control
4957,T20120006470,A,1990.0,1.0,NW,1.0,Paved,V,SEDAN,HONDA,CONCER,,1,Car,,R,P,4.0,4.0,5.0,1040.0,1.0,,1600.0,E,2.0,2.0,H,GRN,ZZ,2.0,5,2.0,5,1.0,1.0,Stop-go lights
4958,T20120006470,B,2004.0,2.0,SE,1.0,Paved,V,TRAY,MITSUB,FE639C,,71,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,4495.0,R,D,6.0,4.0,3.0,2745.0,2.0,1750.0,,SE,1.0,1.0,H,WHI,ZZ,2.0,F,2.0,2,2.0,1.0,Stop-go lights
5180,T20120006722,A,2011.0,1.0,N,3.0,Gravel,V,SOLO,AMACCH,,,10,Motor Cycle,,,Z,,,,,1.0,,,N,1.0,1.0,H,OGE,ZZ,2.0,F,2.0,1,2.0,0.0,No control
5264,T20120006844,A,1996.0,1.0,SW,1.0,Paved,V,COUPE,HYNDAI,EXCEL,,1,Car,,R,P,4.0,4.0,5.0,940.0,2.0,,,NE,5.0,5.0,H,MVE,ZZ,2.0,1,0.0,5,1.0,0.0,No control
5265,T20120006844,B,1991.0,2.0,SW,1.0,Paved,V,T SDS,ISUZU,FVM,,72,Heavy Vehicle (Rigid) > 4.5 Tonnes,,,Z,,,,,1.0,,,SW,1.0,1.0,H,WHI,ZZ,2.0,F,0.0,4,1.0,0.0,No control
5329,T20120006912,A,1990.0,1.0,N,1.0,Paved,V,SEDAN,HOLDEN,COMM,,1,Car,1650.0,R,P,4.0,6.0,5.0,1350.0,1.0,300.0,,S,5.0,5.0,H,WHI,ZZ,2.0,1,0.0,2,2.0,0.0,No control
